"V1"|"V2"
"228"|"100287"|"104916"
"229"|"100287"|"100194"
"230"|"100287"|"104560"
"231"|"100287"|"101767"
"232"|"100287"|"100200"
"233"|"100287"|"100268"
"234"|"100293"|"101303"
"235"|"100293"|"105396"
"236"|"100293"|"103500"
"237"|"100293"|"101767"
"238"|"100293"|"100302"
"239"|"100293"|"102525"
"240"|"100293"|"103503"
"241"|"100293"|"100423"
"242"|"100293"|"106200"
"243"|"100293"|"100360"
"244"|"100293"|"100266"
"245"|"100293"|"101147"
"246"|"100293"|"100330"
"247"|"100293"|"102520"
"248"|"100293"|"100287"
"249"|"100299"|"100332"
"250"|"100299"|"101767"
"251"|"100299"|"100392"
"252"|"100299"|"100268"
"253"|"100299"|"103503"
"254"|"100299"|"103659"
"255"|"100299"|"103500"
"256"|"100299"|"100266"
"257"|"100302"|"100440"
"258"|"100302"|"104391"
"259"|"100302"|"100421"
"260"|"100302"|"100293"
"261"|"100302"|"102386"
"262"|"100302"|"104560"
"263"|"100302"|"100268"
"264"|"100302"|"103205"
"265"|"100302"|"107604"
"266"|"100302"|"106312"
"267"|"100302"|"100243"
"268"|"100302"|"103500"
"269"|"100302"|"101767"
"270"|"100302"|"100225"
"271"|"100302"|"100371"
"272"|"100327"|"103659"
"273"|"100327"|"100266"
"274"|"100327"|"103500"
"275"|"100327"|"100302"
"276"|"100327"|"103205"
"277"|"100327"|"104560"
"278"|"100327"|"100398"
"279"|"100327"|"100287"
"280"|"100327"|"100330"
"281"|"100327"|"100268"
"282"|"100327"|"100332"
"283"|"100327"|"102157"
"284"|"100327"|"100392"
"285"|"100328"|"102074"
"286"|"100328"|"101974"
"287"|"100328"|"102023"
"288"|"100328"|"100396"
"289"|"100328"|"101891"
"290"|"100328"|"102346"
"291"|"100330"|"100287"
"292"|"100330"|"102839"
"293"|"100330"|"105396"
"294"|"100330"|"102525"
"295"|"100330"|"100398"
"296"|"100330"|"106385"
"297"|"100330"|"101147"
"298"|"100330"|"101303"
"299"|"100330"|"105097"
"300"|"100330"|"100392"
"301"|"100330"|"100327"
"302"|"100330"|"103198"
"303"|"100330"|"100430"
"304"|"100330"|"101296"
"305"|"100332"|"104020"
"306"|"100332"|"104916"
"307"|"100332"|"100268"
"308"|"100332"|"102157"
"309"|"100332"|"100393"
"310"|"100332"|"100299"
"311"|"100332"|"100435"
"312"|"100332"|"107604"
"313"|"100332"|"100293"
"314"|"100332"|"102386"
"315"|"100332"|"100440"
"316"|"100332"|"100371"
"317"|"100332"|"100421"
"318"|"100332"|"103205"
"319"|"100332"|"100423"
"320"|"100358"|"101892"
"321"|"100358"|"102020"
"322"|"100358"|"101978"
"323"|"100360"|"104560"
"324"|"100360"|"100392"
"325"|"100360"|"103659"
"326"|"100360"|"100268"
"327"|"100360"|"100302"
"328"|"100360"|"100332"
"329"|"100360"|"100287"
"330"|"100360"|"100175"
"331"|"100360"|"100435"
"332"|"100360"|"100327"
"333"|"100360"|"100203"
"334"|"100360"|"100266"
"335"|"100360"|"100440"
"336"|"100360"|"103500"
"337"|"100371"|"100287"
"338"|"100371"|"104391"
"339"|"100371"|"103503"
"340"|"100371"|"103500"
"341"|"100371"|"101765"
"342"|"100372"|"100385"
"343"|"100373"|"102060"
"344"|"100373"|"102021"
"345"|"100374"|"100435"
"346"|"100374"|"106895"
"347"|"100385"|"100423"
"348"|"100392"|"102386"
"349"|"100392"|"100200"
"350"|"100392"|"100293"
"351"|"100392"|"101765"
"352"|"100392"|"107604"
"353"|"100392"|"103503"
"354"|"100392"|"100194"
"355"|"100392"|"100175"
"356"|"100392"|"100268"
"357"|"100392"|"100330"
"358"|"100392"|"104391"
"359"|"100392"|"100332"
"360"|"100392"|"101827"
"361"|"100392"|"102157"
"362"|"100392"|"100435"
"363"|"100393"|"100287"
"364"|"100393"|"100302"
"365"|"100396"|"101764"
"366"|"100396"|"102036"
"367"|"100396"|"100273"
"368"|"100396"|"102067"
"369"|"100396"|"100328"
"370"|"100396"|"102345"
"371"|"100396"|"101889"
"372"|"100396"|"101969"
"373"|"100396"|"100358"
"374"|"100396"|"102026"
"375"|"100396"|"102343"
"376"|"100396"|"102346"
"377"|"100396"|"102023"
"378"|"100396"|"102074"
"379"|"100396"|"102383"
"380"|"100398"|"101296"
"381"|"100398"|"103470"
"382"|"100398"|"102469"
"383"|"100398"|"104432"
"384"|"100405"|"103500"
"385"|"100406"|"107293"
"386"|"100421"|"100287"
"387"|"100421"|"100327"
"388"|"100421"|"100266"
"389"|"100421"|"100392"
"390"|"100421"|"100302"
"391"|"100421"|"104560"
"392"|"100421"|"103659"
"393"|"100423"|"101765"
"394"|"100423"|"103659"
"395"|"100423"|"100293"
"396"|"100423"|"101767"
"397"|"100423"|"104391"
"398"|"100423"|"100440"
"399"|"100423"|"100268"
"400"|"100423"|"103205"
"401"|"100423"|"100266"
"402"|"100423"|"100435"
"403"|"100430"|"107133"
"404"|"100430"|"106200"
"405"|"100430"|"100905"
"406"|"100430"|"109845"
"407"|"100430"|"100182"
"408"|"100430"|"101296"
"409"|"100430"|"102157"
"410"|"100430"|"101147"
"411"|"100430"|"105097"
"412"|"100430"|"105396"
"413"|"100433"|"102841"
"414"|"100433"|"102839"
"415"|"100433"|"102324"
"416"|"100433"|"105273"
"417"|"100433"|"109473"
"418"|"100433"|"102856"
"419"|"100433"|"102314"
"420"|"100433"|"102452"
"421"|"100433"|"101971"
"422"|"100435"|"104560"
"423"|"100435"|"100302"
"424"|"100435"|"100371"
"425"|"100435"|"104391"
"426"|"100435"|"101767"
"427"|"100435"|"100423"
"428"|"100435"|"100293"
"429"|"100435"|"100332"
"430"|"100435"|"100392"
"431"|"100435"|"100360"
"432"|"100435"|"107293"
"433"|"100435"|"100374"
"434"|"100435"|"103205"
"435"|"100440"|"100332"
"436"|"100440"|"100268"
"437"|"100440"|"103659"
"438"|"100440"|"100266"
"439"|"100440"|"100360"
"440"|"100440"|"102386"
"441"|"100440"|"103500"
"442"|"100440"|"103503"
"443"|"100440"|"104391"
"444"|"100440"|"100392"
"445"|"100440"|"100423"
"446"|"100441"|"102345"
"447"|"100441"|"102025"
"448"|"100441"|"102010"
"449"|"100441"|"102067"
"450"|"100441"|"101892"
"451"|"100441"|"102036"
"452"|"100441"|"101889"
"453"|"100441"|"102008"
"454"|"100441"|"102026"
