state|county|totpop|totalhouseholds|whitepct|blackpct|asianpct|hispanpct|foreignlangpct|average_household_size|home_own_pct|median_home_value|median_rent|pct_moved_last_two_years|median_income|percent_poor|healthpct|bachelorpct|firstreg|secondreg|thirdreg
"Iowa"|"Carroll County"|20281|8726|.9736699|.0009368|.0020216|.0249495|.0871259|2.28|.7583085|138900|621|.018|59212|.056|.9637592|.1160692|"Catholic"|"Evangelical Protestant"|"Mainline Protestant"
"Iowa"|"Cass County"|13091|5921|.9697502|.0019861|.0032847|.0270415|.0756245|2.16|.6922817|102100|646|.019|50187|.112|.9375143|.1041173|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Iowa"|"Cedar County"|18457|7391|.9745896|.0140868|.0036301|.0204259|.0664247|2.45|.812204|156000|719|.017|67795|.037|.9658666|.1184374|"Mainline Protestant"|"United Methodist"|"United Church of Christ"
"Iowa"|"Cerro Gordo County"|42834|19241|.9405612|.0174394|.0114629|.0486996|.0895083|2.16|.6910763|128600|707|.014|53963|.074|.9374329|.1176635|"Mainline Protestant"|"Evangelical Lutheran"|"Evangelical Protestant"
"Iowa"|"Cherokee County"|11343|5319|.948779|.0201005|.0079344|.0160451|.0834876|2.04|.7461929|106700|550|.018|56550|.062|.9299127|.109054|"Mainline Protestant"|"Evangelical Protestant"|"Catholic"
"Iowa"|"Chickasaw County"|12026|5173|.9787128|.0107268|.0012473|.0252786|.1150008|2.29|.8066885|119100|630|.016|60034|.038|.9291535|.0883087|"Catholic"|"Mainline Protestant"|"Evangelical Lutheran"
"Iowa"|"Clarke County"|9360|3895|.9557692|.000641|.0073718|.1428419|.1853632|2.35|.7042362|110300|783|.039|54427|.086|.9193376|.0770299|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Iowa"|"Clay County"|16211|7212|.9528098|.0069089|.0064771|.0368885|.0999321|2.2|.6772047|124100|700|.024|50521|.085|.9483067|.1162791|"Mainline Protestant"|"Evangelical Protestant"|"Catholic"
"Iowa"|"Clayton County"|17625|7510|.9743546|.0096454|.0044823|.019234|.110922|2.3|.745273|121700|648|.013|53152|.064|.9300993|.0987234|"Mainline Protestant"|"Evangelical Lutheran"|"Catholic"
"Iowa"|"Clinton County"|46909|19635|.9363022|.0281396|.0069496|.0313799|.0772773|2.35|.7326203|118100|683|.014|51688|.084|.9536549|.0860602|"Mainline Protestant"|"Catholic"|"Evangelical Protestant"
